Marka,Model,Depolama,RAM,Yaş,Fiyat
Samsung,Galaxy S10,64,4,2,14085.5
Apple,iPhone 10,128,4,4,18527.57
Apple,iPhone 11,128,6,0,19712.59
Oppo,A15,64,6,5,6246.76
OnePlus,Nord,128,12,2,19511.05
Xiaomi,Mi 11,64,12,3,9806.85
Oppo,A15,256,12,5,20792.02
Huawei,Mate 40,256,8,0,27695.31
Apple,iPhone 12,128,8,4,17582.77
Apple,iPhone 10,64,12,5,14367.72
Apple,iPhone 12,256,12,1,31229.56
Apple,iPhone 12,128,4,2,18195.96
Oppo,A15,64,6,4,6943.47
Xiaomi,Mi 11,64,6,2,11851.5
Xiaomi,Redmi Note 9,256,8,4,21699.01
Oppo,A15,64,4,2,8143.03
OnePlus,Nord,128,6,4,13389.3
Xiaomi,Redmi Note 8,128,4,2,15815.59
Oppo,Find X3,128,8,0,14197.83
OnePlus,8T,128,6,3,16254.69
Samsung,Galaxy S20,256,6,4,20963.15
Oppo,A15,256,4,2,21217.5
Huawei,P40,128,8,2,13571.79
Xiaomi,Mi 11,256,12,2,26912.38
Oppo,A15,256,12,1,24606.48
Samsung,Galaxy S20,256,4,5,25501.35
Huawei,P40,64,8,0,15659.94
Apple,iPhone 12,64,12,1,20312.98
Samsung,Galaxy S10,64,6,5,10217.56
Oppo,A15,128,12,3,14619.24
OnePlus,9 Pro,128,12,5,16326.13
Huawei,P30,128,6,5,10970.7
Apple,iPhone 12,256,8,5,24045.36
Apple,iPhone 10,64,6,1,18356.39
Huawei,Mate 40,128,8,1,18764.82
Oppo,Reno 5,128,4,0,14291.7
Oppo,Reno 5,256,4,2,22706.05
Samsung,Galaxy S21,128,12,3,18847.18
Apple,iPhone 10,64,8,1,16101.77
Apple,iPhone 12,128,8,2,18409.51
Apple,iPhone 12,128,4,0,20511.94
Oppo,Reno 5,64,6,4,7206.05
OnePlus,Nord,256,4,3,26872.98
Apple,iPhone 12,128,8,4,18588.6
Xiaomi,Redmi Note 8,64,4,1,10692.46
Xiaomi,Redmi Note 9,256,4,3,24072.7
OnePlus,8T,256,8,4,21912.47
Apple,iPhone 12,64,4,3,17539.98
Apple,iPhone 11,128,6,5,16518.41
Samsung,Galaxy S20,128,8,0,19357.81
OnePlus,8T,128,8,5,12916.5
Samsung,Galaxy S20,64,12,2,16492.17
Apple,iPhone 11,256,6,4,25353.86
Oppo,Reno 5,64,6,5,6826.11
Apple,iPhone 11,256,6,5,26813.4
OnePlus,9 Pro,128,4,0,22296.54
Xiaomi,Mi 11,256,12,2,24403.62
Xiaomi,Mi 11,256,4,5,17100.09
Apple,iPhone 12,64,4,2,18509.15
OnePlus,8T,256,8,1,24152.4
Oppo,Find X3,128,8,5,10212.82
Xiaomi,Redmi Note 8,64,8,4,7666.57
Xiaomi,Redmi Note 9,128,12,1,15721.16
Apple,iPhone 11,128,4,1,19029.31
Xiaomi,Mi 11,256,6,1,25114.99
Samsung,Galaxy S10,64,8,4,11499.3
Huawei,Mate 40,256,12,4,22520.88
Xiaomi,Redmi Note 8,64,4,1,10900.59
Huawei,P40,128,6,1,17407.78
Huawei,Mate 40,256,4,1,22748.51
OnePlus,9 Pro,256,12,2,24546.34
Oppo,Find X3,256,4,0,26603.07
Xiaomi,Redmi Note 9,64,8,0,13194.64
Samsung,Galaxy S20,64,6,5,11767.42
Xiaomi,Redmi Note 9,64,4,4,8299.42
Samsung,Galaxy S10,128,12,3,19209.77
Huawei,Mate 40,128,6,4,15165.37
Samsung,Galaxy S10,256,6,4,26525.04
OnePlus,8T,256,4,0,28148.5
OnePlus,8T,128,12,0,18598.82
Oppo,Reno 5,256,4,2,21164.97
Oppo,Reno 5,256,4,1,24612.78
Huawei,P30,128,6,5,12760.75
Oppo,A15,64,4,2,9557.91
Samsung,Galaxy S10,128,12,1,21152.12
Apple,iPhone 10,64,6,1,18538.25
Xiaomi,Redmi Note 8,64,8,4,8226.95
Samsung,Galaxy S21,128,12,3,15965.18
OnePlus,9 Pro,256,8,2,24666.46
Huawei,P30,256,8,4,24442.33
OnePlus,Nord,256,4,5,22593.95
Samsung,Galaxy S20,64,8,1,16238.51
OnePlus,8T,256,12,1,25963.62
Huawei,P30,256,6,5,18162.72
Apple,iPhone 11,64,12,5,13751.87
Apple,iPhone 10,128,4,5,18587.42
Huawei,P40,128,12,4,15192.72
OnePlus,8T,64,4,4,12102.01
Samsung,Galaxy S20,128,4,3,15849.85
Oppo,A15,128,8,1,13802.62
Samsung,Galaxy S20,64,6,3,11800.68
Apple,iPhone 10,64,8,4,12004.67
OnePlus,9 Pro,128,4,0,21143.8
Xiaomi,Redmi Note 8,128,4,1,14733.56
OnePlus,Nord,64,6,4,9422.13
Xiaomi,Redmi Note 8,256,4,1,22509.83
Samsung,Galaxy S21,64,8,3,13674.28
Oppo,A15,256,6,4,17357.51
Apple,iPhone 10,64,12,3,17413.45
Oppo,A15,256,4,3,20542.86
Xiaomi,Redmi Note 9,128,12,4,11657.93
Oppo,A15,128,12,4,12216.9
Xiaomi,Redmi Note 9,128,12,4,14094.87
Oppo,Reno 5,128,4,1,15121.5
Oppo,A15,128,12,4,11629.65
Oppo,Find X3,64,6,0,11812.99
OnePlus,8T,128,8,3,15590.5
Huawei,Mate 40,256,12,1,29407.13
Oppo,Find X3,64,8,1,12188.56
Samsung,Galaxy S10,128,6,3,18839.94
Samsung,Galaxy S21,128,6,3,17066.76
OnePlus,8T,256,8,5,24254.93
OnePlus,8T,128,4,4,13159.12
Oppo,Find X3,128,8,0,17377.79
Samsung,Galaxy S21,256,6,2,25678.28
Huawei,P30,128,4,5,11767.98
Xiaomi,Redmi Note 8,64,4,0,12392.82
Apple,iPhone 10,256,6,2,25668.32
Huawei,P30,256,12,1,23629.74
Xiaomi,Mi 11,256,8,3,20534.54
OnePlus,Nord,128,8,5,13127.4
Samsung,Galaxy S10,128,6,5,14324.13
Xiaomi,Mi 11,64,8,3,9663.14
Xiaomi,Redmi Note 8,128,8,2,16517.65
Samsung,Galaxy S21,128,4,3,18529.2
Apple,iPhone 12,64,8,3,17587.72
Samsung,Galaxy S10,128,8,1,20577.77
Oppo,Reno 5,256,6,4,19749.21
Oppo,A15,64,12,0,11374.97
Oppo,A15,64,4,1,8624.76
Samsung,Galaxy S21,256,12,3,28444.67
Huawei,P30,256,6,0,26984.29
OnePlus,9 Pro,256,4,4,26916.93
Samsung,Galaxy S20,256,12,4,21533.73
